title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
All Quiet on the Western Front,20000000,0,7.733,3785,2022-10-07,147,"Drama, War, Action",de
One Week Friends,0,0,5.7,112,2022-06-18,106,Drama,zh
Bullet Train Down,0,0,5.582,61,2022-08-01,86,Action,en
PSK Belia,0,0,0.0,0,2022-11-02,0,"Drama, Romance",id
Pinocchio,0,0,6.355,1564,2022-09-07,105,"Fantasy, Adventure, Family",en
"Run, Tiger Run!",0,0,6.083,36,2022-02-01,90,"Animation, Adventure, Comedy, Action, Family",zh
Dead for a Dollar,0,81403,5.87,243,2022-09-30,106,"Western, Thriller, Action",en
Don't Worry Darling,35000000,86700000,6.806,2389,2022-09-21,123,"Thriller, Mystery, Drama",en
RRR,69000000,160000000,7.754,1263,2022-03-24,185,"Action, Drama",te
Moonfall,146000000,67319703,6.3,3067,2022-02-03,131,"Science Fiction, Adventure, Action",en
Elvis,85000000,288670284,7.526,3348,2022-06-22,159,"Drama, Music, History",en
The Voyagers,0,0,6.2,95,2022-11-21,108,"Fantasy, Adventure, TV Movie",it
Mira,6042800,0,7.677,282,2022-12-22,110,"Science Fiction, Drama, Adventure, Family",ru
The School for Good and Evil,0,0,7.059,1211,2022-10-19,149,"Fantasy, Comedy, Adventure, Drama",en
The Northman,80000000,69633110,7.065,4210,2022-04-07,137,"Action, Adventure, Fantasy",en
Padre no hay mas que uno 3,0,0,7.588,239,2022-07-15,98,"Comedy, Family",es
Agent Game,0,0,5.1,91,2022-04-08,90,"Action, Thriller",en
The Ice Age Adventures of Buck Wild,0,0,6.625,1687,2022-01-28,82,"Animation, Comedy, Adventure, Family",en
Speak No Evil,3200000,631249,6.6,768,2022-03-17,97,"Horror, Thriller",da
Redeeming Love,30000000,9500000,7.85,514,2022-01-21,134,"Romance, Drama, Western",en
The Boss Baby: Christmas Bonus,0,0,6.7,296,2022-12-06,45,"Animation, Family, Adventure",en
Dog,20000000,84774243,7.315,1518,2022-02-17,101,"Drama, Comedy",en
4 Horsemen: Apocalypse,0,0,6.033,106,2022-04-29,86,"Science Fiction, Horror",en
Incantation,0,5700000,6.824,638,2022-03-18,111,Horror,zh
The Contractor,0,2122288,6.4,876,2022-03-10,103,"Action, Thriller",en
Encanto at the Hollywood Bowl,0,0,7.1,156,2022-12-28,45,"Music, Documentary",en
Princess Cursed in Time: Alchemist's Quest,0,0,6.9,33,2022-11-17,133,"Family, Fantasy, Comedy",cs
Triangle of Sadness,15600000,24733572,7.09,2104,2022-09-18,147,"Comedy, Drama",en
Wifelike,0,0,6.758,269,2022-08-12,106,"Science Fiction, Mystery, Thriller",en
The Exorcism of Hannah Stevenson,0,0,5.9,32,2022-03-14,75,"Fantasy, Horror",en
Sniper: The White Raven,1000000,881,7.668,734,2022-05-03,120,"War, Action, Drama",uk
Suzume,0,323638107,7.958,1264,2022-11-11,123,"Animation, Drama, Adventure, Fantasy",ja
Sex Game 6969,0,0,4.4,9,2022-01-27,74,"Comedy, Drama, Romance",ko
The Black Phone,16000000,161440742,7.605,4833,2022-06-22,103,"Horror, Thriller",en
Shadow Master,0,0,6.727,97,2022-11-03,90,"Action, Fantasy, Thriller",en
Violent Night,20000000,75734910,7.32,2068,2022-11-30,111,"Comedy, Action",en
Serve the People,0,0,6.339,31,2022-02-23,146,"Romance, Drama",ko
Slash/Back,0,15511,6.431,72,2022-06-24,87,"Science Fiction, Action, Thriller, Horror",en
Squeal,0,0,4.8,9,2022-08-19,85,"Comedy, Horror, Fantasy",lv
R.I.P.D. 2: Rise of the Damned,0,0,6.4,578,2022-11-15,102,"Fantasy, Action, Comedy",en
Crush,0,0,7.448,417,2022-04-29,92,"Comedy, Romance",en
Dinner in America,0,0,7.585,82,2022-05-27,106,"Romance, Comedy, Music",en
Nope,68000000,170823080,6.844,4022,2022-07-20,130,"Horror, Mystery, Science Fiction",en
Monster High: The Movie,1000000,0,6.9,259,2022-10-06,89,"Family, Fantasy, Comedy, Adventure",en
Werewolf by Night,0,0,6.981,1245,2022-09-25,55,"Action, Fantasy, Horror",en
Strange World,180000000,73621640,6.337,1232,2022-11-23,102,"Animation, Family, Adventure, Science Fiction, Fantasy",en
Me Time,0,0,5.925,883,2022-08-26,105,Comedy,en
DC League of Super-Pets,90000000,203000000,7.248,1522,2022-07-27,105,"Animation, Action, Family, Comedy, Science Fiction",en
Marcel the Shell with Shoes On,0,6900000,7.7,526,2022-06-24,90,"Animation, Comedy, Family",en
Pearl,1000000,10139416,7.29,1787,2022-09-16,102,"Horror, Drama",en
Little Eggs: A Frozen Rescue,0,0,7.7,342,2022-12-14,91,"Animation, Adventure, Comedy, Family",es
Reign of Chaos,10000,100,5.6,38,2022-04-12,77,"Action, Horror, Fantasy",en
Roald Dahl's Matilda the Musical,25000000,35617120,6.782,714,2022-11-25,117,"Family, Comedy, Fantasy",en
Lamborghini: The Man Behind the Legend,1709686,0,6.45,577,2022-11-17,97,"Drama, History",en
Decision to Leave,0,16914773,7.4,1146,2022-06-29,138,"Thriller, Mystery, Romance",ko
The Adventures of Maid Marian,0,0,5.0,17,2022-05-09,82,"Adventure, Action",en
Emily the Criminal,2000000,2157673,6.693,797,2022-08-12,97,"Crime, Drama, Thriller",en
Blade of the 47 Ronin,0,0,6.5,203,2022-10-25,106,Fantasy,en
Aftersun,0,7834405,7.68,1339,2022-10-21,101,Drama,en
"To Me, the One Who Loved You",0,0,5.903,67,2022-10-07,98,"Animation, Romance, Science Fiction",ja
Avatar: The Deep Dive - A Special Edition of 20/20,0,0,7.1,74,2022-12-13,38,Documentary,en
Samaritan,100000000,0,6.723,1960,2022-08-25,102,"Science Fiction, Crime, Action",en
The Menu,35000000,79628200,7.186,4784,2022-11-17,107,"Comedy, Horror, Thriller",en
Jurassic World Camp Cretaceous: Hidden Adventure,0,0,5.725,20,2022-11-15,32,"Action, Adventure, Animation",en
Texas Chainsaw Massacre,20000000,0,5.218,1412,2022-02-18,83,Horror,en
Troll,0,0,6.63,1662,2022-12-01,104,"Fantasy, Action, Adventure",no
Crushed,0,0,2.8,5,2022-04-01,90,"Comedy, Romance",en
The Survivor,0,0,6.924,157,2022-04-07,129,"History, Action, Drama, TV Movie",en
A Man Called Otto,50000000,108961677,7.754,2566,2022-12-28,126,"Comedy, Drama",en
The Last 10 Years,0,22500000,6.875,88,2022-03-04,124,"Drama, Romance",ja
Emergency Declaration,18052672,19200000,7.5,341,2022-08-03,140,"Action, Drama, Thriller",ko
Don't Look at the Demon,0,727153,6.8,68,2022-09-29,95,Horror,en
Murder at Yellowstone City,0,0,5.5,68,2022-06-24,126,"Western, Mystery",en
My Name Is Vendetta,0,0,6.62,589,2022-11-30,90,"Action, Crime, Adventure, Thriller",it
Borders of Love,0,0,6.0,15,2022-11-03,95,Drama,cs
Beast,0,56000000,6.616,1520,2022-08-11,93,"Thriller, Action, Horror",en
Patriots Time,0,0,7.812,117,2022-04-28,101,"Action, War, Drama",ru
578: Magnum,0,0,5.856,59,2022-05-20,108,"Action, Thriller",vi
Fortress: Sniper's Eye,22000000,69075,5.323,155,2022-04-29,87,"Action, Thriller, Crime",en
Shin Ultraman,5500000,34441594,7.2,169,2022-05-13,112,"Action, Science Fiction",ja
Jerry & Marge Go Large,0,0,7.346,324,2022-10-20,96,"Comedy, Drama",en
Prey for the Devil,0,37655699,6.927,897,2022-10-23,93,"Horror, Thriller",en
Hellraiser,14000000,0,6.208,788,2022-09-28,121,"Horror, Mystery",en
Scorpio Nights 3,0,0,6.3,12,2022-07-28,112,Thriller,tl
Barbarian,4500000,45400000,6.8,2399,2022-09-08,103,"Horror, Mystery",en
Project 'Gemini',6000000,211674,5.75,428,2022-01-06,98,"Science Fiction, Horror",en
Magnum Opus,0,0,7.339,252,2022-07-18,5,"Animation, Family, Science Fiction, Comedy",en
The Simpsons Meet the Bocellis in “Feliz Navidad”,0,0,5.819,71,2022-12-15,4,"Animation, Family, Comedy",en
The Soccer Football Movie,0,0,5.819,116,2022-11-09,74,"Animation, Comedy, Family",en
The Curse of Bridge Hollow,0,0,6.531,449,2022-10-14,89,"Adventure, Comedy, Horror, Family",en
Glass Onion: A Knives Out Mystery,40000000,13280000,7.06,5416,2022-11-23,140,"Comedy, Crime, Mystery",en
Catwoman: Hunted,0,0,5.68,103,2022-02-07,78,"Animation, Action, Crime",en
Leave,1958878,0,5.976,63,2022-10-28,106,"Horror, Thriller",no
The Lost City,74000000,192907684,6.505,3536,2022-03-24,112,"Action, Adventure, Comedy",en
V for Vengeance,0,0,5.6,108,2022-06-07,85,"Horror, Action",en
The Coffee Table,0,16630,7.057,140,2022-06-01,91,"Horror, Thriller, Drama",es
Mega Lightning,0,0,4.5,16,2022-12-05,90,"Action, Horror, Science Fiction",en
Carter,0,0,6.0,363,2022-08-05,132,"Action, Thriller, Crime",ko
The Little Guy,0,0,7.348,263,2022-08-10,6,"Animation, Family, Comedy, Science Fiction",en
V/H/S/99,0,0,5.9,255,2022-09-15,109,"Horror, Thriller",en
Bodies Bodies Bodies,3000000,13900000,6.247,1093,2022-08-05,94,"Horror, Comedy, Mystery",en
Trick or Treat Scooby-Doo!,0,0,7.038,183,2022-10-04,77,"Adventure, Mystery, Comedy, Animation, Family",en
Virgin Forest,0,0,5.2,15,2022-06-24,113,"Thriller, Crime, Drama",tl
K.G.F: Chapter 2,13000000,90410749,7.4,143,2022-04-14,168,"Action, Adventure, Crime, Thriller",kn
The Adam Project,116000000,0,7.04,4264,2022-03-11,106,"Adventure, Science Fiction",en
Wyrmwood: Apocalypse,0,0,5.72,109,2022-02-10,88,"Action, Horror",en
The Sea Beast,0,0,7.358,1437,2022-06-24,119,"Animation, Adventure, Action, Family, Fantasy",en
"2025: Blood, White & Blue",0,0,4.2,4,2022-07-01,135,"Horror, Action, Comedy",en
Memory,30000000,13900000,6.8,1472,2022-04-28,114,"Action, Thriller, Crime",en
Cat Pack: A PAW Patrol Exclusive Event,0,0,7.4,76,2022-06-24,68,"Animation, Family",en
Warriors of Future,0,100730000,7.0,403,2022-08-05,101,"Drama, Action, Science Fiction",zh
Inspector Sun and the Curse of the Black Widow,0,3644575,6.706,143,2022-12-28,82,"Animation, Family, Comedy, Mystery",es
Orphan: First Kill,10000000,9572765,6.643,2074,2022-07-27,99,"Horror, Thriller",en
To Every You I've Loved Before,0,0,6.671,35,2022-10-07,102,"Animation, Romance, Science Fiction",ja
The 355,75000000,55700000,6.063,985,2022-01-05,122,"Action, Adventure, Thriller",en
Groot Takes a Bath,0,0,7.159,339,2022-08-10,6,"Animation, Family, Comedy, Science Fiction",en
On the Line,0,0,6.134,486,2022-10-31,104,"Thriller, Drama",en
Mr. Harrigan's Phone,0,0,6.435,808,2022-10-05,105,"Drama, Horror, Mystery",en
May-December-January,0,0,2.0,1,2022-10-12,0,"Drama, Romance",tl
Death on the Nile,90000000,137307235,6.43,3605,2022-02-09,127,"Mystery, Crime, Thriller",en
The Jack in the Box: Awakening,0,1147001,6.27,342,2022-02-24,89,Horror,en
Snoopy Presents: Lucy's School,0,0,7.375,32,2022-08-11,38,"Family, Animation, Comedy",en
Last Seen Alive,0,5950199,6.472,921,2022-05-12,95,"Action, Thriller",en
No Exit,0,0,6.9,1112,2022-02-24,96,"Thriller, Mystery",en
The Trapped 13: How We Survived The Thai Cave,0,0,6.335,82,2022-10-05,102,Documentary,th
Medieval,23000000,4311284,7.0,464,2022-09-08,126,"Action, Drama, History",en
The Whale,3000000,55101305,7.851,3758,2022-12-09,117,Drama,en
Song of the Assassins,0,0,6.4,8,2022-05-13,118,"Drama, Action, Mystery",zh
Hustle,0,0,7.761,2478,2022-06-03,117,"Drama, Comedy",en
Mortal Kombat Legends: Snow Blind,0,0,7.772,180,2022-10-09,82,"Animation, Action, Fantasy",en
Firestarter,12000000,15000000,5.586,683,2022-05-12,94,"Horror, Science Fiction, Thriller",en
Sword Art Online the Movie – Progressive – Scherzo of Deep Night,0,9071701,7.7,178,2022-10-22,100,"Animation, Action, Fantasy, Science Fiction",ja
Christmas Bloody Christmas,0,0,5.429,191,2022-10-05,87,Horror,en
Eternal 831,0,0,4.909,11,2022-03-18,105,"Animation, Drama, Adventure, Science Fiction",ja
The Killer,0,595112,7.7,360,2022-07-13,95,"Action, Crime, Thriller",ko
Crawlspace,0,0,6.0,132,2022-03-31,90,"Thriller, Crime",en
The Wait,0,0,5.793,29,2022-04-01,100,"Romance, Drama",fi
There Are No Saints,0,108738,5.2,106,2022-05-27,105,"Action, Mystery, Thriller",en
Sniper: Rogue Mission,0,0,6.311,140,2022-08-16,96,"Action, Thriller, Mystery",en
Barbie: Mermaid Power,0,0,6.7,71,2022-10-14,64,Animation,en
Eradication,5000,0,6.236,146,2022-07-15,84,"Horror, Thriller",en
Lou,0,0,6.535,649,2022-09-23,107,"Action, Thriller",en
Shark Side of the Moon,10000,0,5.1,150,2022-08-12,88,"Action, Science Fiction, Thriller, Horror",en
Mutant: Ghost War Girl,0,0,5.378,49,2022-09-26,72,"Science Fiction, Action",zh
Selina's Gold,0,0,6.75,28,2022-10-28,113,Drama,tl
The First Slam Dunk,0,258000000,7.827,382,2022-12-03,125,"Animation, Comedy, Drama",ja
Seoul Vibe,0,0,6.6,162,2022-08-26,140,"Action, Crime, Comedy, Adventure",ko
Groot's First Steps,0,0,7.025,336,2022-08-10,6,"Animation, Family, Comedy, Science Fiction",en
Yaksha: Ruthless Operations,0,0,6.525,202,2022-04-08,125,"Action, Adventure, Crime, Thriller",ko
American Carnage,0,116699,6.0,149,2022-07-15,101,"Mystery, Thriller, Comedy, Horror",en
"Tad, the Lost Explorer and the Emerald Tablet",11983950,32800000,7.508,298,2022-08-24,89,"Animation, Adventure, Family, Comedy, Fantasy",es
Kantara,1934000,60447800,7.1,87,2022-09-30,147,"Action, Adventure, Thriller",kn
The Ledge,2500000,0,6.474,325,2022-02-18,86,"Thriller, Adventure",en
Drifting Home,0,0,7.428,272,2022-09-09,121,"Animation, Fantasy, Adventure",ja
Diary of a Wimpy Kid: Rodrick Rules,0,0,6.911,158,2022-12-02,74,"Animation, Comedy, Family",en
Panama,0,0,5.329,149,2022-03-17,100,"Thriller, Action",en
The Enforcer,1261569,0,7.013,388,2022-09-22,91,"Action, Crime, Drama",en
South Park the Streaming Wars,0,0,7.3,217,2022-06-01,49,"Animation, Comedy, TV Movie",en
The Outfit,5000000,4000000,7.092,1078,2022-02-25,105,"Crime, Drama, Thriller, Mystery",en
Vicini di casa,0,0,5.537,95,2022-12-01,83,Comedy,it
Paws of Fury: The Legend of Hank,45000000,42500000,6.692,291,2022-07-14,94,"Animation, Adventure, Comedy, Family",en
"Good Luck to You, Leo Grande",0,7589829,6.938,510,2022-06-16,97,"Romance, Drama",en
The One,0,0,6.186,35,2022-06-09,108,"Adventure, Thriller, Drama",ru
Lesson Plan,0,0,6.155,164,2022-11-23,98,"Action, Crime",pl
Barbie: Epic Road Trip,0,0,6.688,32,2022-10-25,36,"Comedy, Family, Animation",en
Terrifier 2: Behind the Scenes,0,0,0.0,0,2022-12-27,43,"Documentary, Horror",en
Gold,6500000,176048,6.197,568,2022-01-13,97,"Action, Adventure, Thriller",en
The Key Game,0,0,5.892,60,2022-04-13,107,Comedy,es
Who's a Good Boy?,0,0,5.333,33,2022-11-23,95,Comedy,es
Shark Bait,0,0,5.698,320,2022-05-13,87,"Horror, Thriller, Action, Adventure",en
Saika Kawakita Services You At A 5-Star Top-Class Soapland.,0,0,7.0,1,2022-02-18,182,Documentary,ja
Nightmares,0,0,7.2,26,2022-08-26,87,Horror,vi
Collision,0,0,5.9,129,2022-06-16,99,"Thriller, Crime, Drama",en
Erik Stoneheart,1591000,13877,5.9,9,2022-12-05,105,"Family, Adventure, Fantasy",et
Battle for Saipan,0,0,5.655,71,2022-11-25,94,"War, History, Action",en
The Guardians of the Galaxy Holiday Special,0,0,7.158,1949,2022-11-24,45,"Comedy, Science Fiction, Adventure",en
Who Killed Santa? A Murderville Murder Mystery,0,0,5.812,69,2022-12-15,53,"Comedy, Crime",en
The Lake,2480000,0,5.8,80,2022-08-18,104,"Horror, Science Fiction, Thriller",th
The Quintessential Quintuplets Movie,0,17288993,8.324,378,2022-05-20,136,"Animation, Comedy, Romance",ja
Orgasm Inc: The Story of OneTaste,0,0,6.144,66,2022-11-05,89,Documentary,en
The Lost Lotteries,0,0,6.8,25,2022-11-16,106,"Crime, Comedy",th
Detective Knight: Redemption,0,192939,5.541,61,2022-12-09,93,"Action, Thriller",en
Abandoned,0,60500,6.0,265,2022-06-17,102,"Horror, Mystery, Thriller, Crime, Drama",en
Lady Chatterley's Lover,0,0,6.644,411,2022-11-22,126,"Drama, Romance",en
The Unbearable Weight of Massive Talent,30000000,29116320,6.783,1956,2022-04-20,107,"Action, Comedy, Crime",en
Hellhole,0,0,6.139,295,2022-10-26,90,"Horror, Mystery",pl
Attack on Titan,0,0,6.006,172,2022-09-30,93,"Science Fiction, Action",en
Emily,0,1859871,6.993,209,2022-10-14,130,"History, Drama, Romance",en
Welcome to the Club,0,0,6.448,181,2022-09-08,4,"Animation, Comedy",en
Ambulance,40000000,52303589,6.654,2085,2022-03-16,136,"Thriller, Action, Crime",en
In from the Side,0,52885,6.714,63,2022-09-16,134,"Drama, Romance",en
Mindcage,0,0,6.0,305,2022-12-16,97,"Mystery, Thriller, Crime",en
The Wrath of God,0,0,6.3,181,2022-06-15,97,"Thriller, Drama",es
Love Like the Falling Petals,0,0,7.9,82,2022-03-24,128,"Drama, Romance",ja
The Fabelmans,40000000,45629909,7.631,2254,2022-11-11,151,Drama,en
How to Save the Immortal,0,0,7.417,24,2022-06-09,76,"Animation, Comedy, Adventure, Fantasy, Romance, Family",ru
Watcher,5000000,2543216,6.471,890,2022-06-03,96,"Horror, Mystery, Thriller",en
Spiderhead,0,0,5.799,1506,2022-06-17,107,"Science Fiction, Thriller",en
Crazy Kwai Boo: Sanxingdui Spirited Away,0,0,4.647,17,2022-07-29,102,"Animation, Comedy, Fantasy",zh
Black Adam: Saviour or Destroyer?,0,0,7.0,409,2022-10-15,22,Documentary,en
Beyond Infinity: Buzz and the Journey to Lightyear,0,0,7.036,235,2022-06-10,35,Documentary,en
Kaguya-sama: Love Is War -The First Kiss That Never Ends-,0,0,7.948,67,2022-12-17,96,"Animation, Comedy, Romance",ja
A Day to Die,98616,0,5.8,211,2022-03-04,101,"Action, Thriller, Crime, Drama",en
Vesper,0,889529,6.4,552,2022-08-17,112,"Science Fiction, Drama, Adventure, Fantasy",en
Private Lesson,0,0,6.796,103,2022-12-16,89,"Comedy, Romance",tr
Teddy's Christmas,0,6200000,7.1,42,2022-11-05,76,"Family, Adventure, Fantasy",no
Secret Headquarters,0,0,6.489,351,2022-08-12,104,"Action, Adventure, Comedy, Science Fiction, Family",en
Samrat Prithviraj,0,0,7.026,19,2022-06-03,136,"Action, Drama, History",hi
Sonic Drone Home,0,0,7.087,46,2022-05-24,6,"Animation, Action, Family, Comedy, Science Fiction",en
Beauty and the Billionaire,0,0,6.714,21,2022-07-25,93,"TV Movie, Romance, Comedy",en
Green Lantern: Beware My Power,0,0,6.793,213,2022-05-19,87,"Animation, Action, Science Fiction, Fantasy",en
Coffee,0,0,8.0,1,2022-11-27,110,"Action, Crime",ta
Thirteen Lives,55000000,0,7.899,1229,2022-07-18,147,"Drama, Thriller",en
Hex,0,0,5.8,87,2022-11-01,88,"Action, Horror, Thriller",en
Armageddon Time,15000000,6524886,6.502,408,2022-10-28,114,Drama,en
Usogui,0,0,5.278,10,2022-02-11,119,"Mystery, Thriller",ja
"Lyle, Lyle, Crocodile",50000000,104088441,7.009,566,2022-10-07,106,"Comedy, Family, Music",en
Spider-Man: All Roads Lead to No Way Home,0,0,6.8,73,2022-05-03,30,Documentary,en
Hunt,17000000,25994,6.7,162,2022-08-10,131,"Action, Mystery, Drama",ko
Golden Escape,0,0,6.8,5,2022-08-05,0,Crime,zh
The Greatest Beer Run Ever,2800000,0,7.577,695,2022-09-23,126,"Drama, Comedy, War",en
Guillermo del Toro's Pinocchio,35000000,0,8.096,2863,2022-11-09,117,"Animation, Fantasy, Drama",en
Obi-Wan Kenobi: A Jedi's Return,0,0,6.8,981,2022-09-07,60,Documentary,en
Lonely Castle in the Mirror,0,0,7.1,59,2022-12-23,116,"Animation, Drama, Mystery, Fantasy",ja
The Invitation,10000000,33628000,6.1,799,2022-08-24,105,"Horror, Thriller",en
Day Shift,0,0,6.79,1894,2022-08-12,113,"Action, Fantasy, Horror, Comedy",en
Shotgun Wedding,0,4495365,6.31,1144,2022-12-28,101,"Action, Comedy, Romance",en
One More Shot,0,9692,5.6,27,2022-10-13,82,"Action, Science Fiction",zh
The Ones You Didn’t Burn,0,0,7.125,8,2022-06-23,70,Horror,en
Tom and Jerry: Snowman's Land,0,0,6.8,46,2022-09-06,76,"Family, Comedy, Animation, Adventure",en
The Magic Flute,6500000,492000,6.5,102,2022-09-30,125,"Adventure, Fantasy, Music, Family",en
